ID,DATE1,Fire Year,Location,Landscape,Soil,Rainfall (mm),SEASON,REPLICATE,FREQUENCY,PLOT_NO,FMCDRYW ,FUEL LOAD (kg/ha) ,AIRTEMP,RH (%),WIND (m/s),PLOTROS,MEDIAN FUELLOAD (kg/m2),Heat Yeild,PLOTFI MEDIAN FL,% OF PLOT BURNT,TYPE OF BURN,SUCCESS OF FIRE
731,5/6/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,MBIYAMITI,3,12,68.00,4092,23.9,63.0,1.3,0.15,0.4092,16890,1065,60,clean,successful
2763,5/11/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,KAMBENI,3,12,48.00,6728,29.4,28.0,1.4,0.43,0.6728,16890,4919,100,clean,highly
2955,5/11/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,FAYI,3,12,55.00,4875,26.1,35.0,1.3,0.29,0.4875,16890,2398,80,patchy,successful
2390,5/12/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,NUMBI,3,11,58.00,6435,23.3,37.0,1.4,0.24,0.6435,16890,2595,100,clean,highly
1664,5/13/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,NWANETSI,3,12,30.00,5315,28.3,44.0,3.4,0.65,0.5315,16890,5795,100,clean,highly
2027,5/14/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,MARHEYA,3,9,28.00,4339,30.6,32.0,2.5,0.63,0.4339,16890,4650,100,clean,highly
2204,5/14/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,SATARA,3,12,40.00,4304,29.4,34.0,2.9,0.55,0.4304,16890,4029,100,clean,highly
48,5/18/82,1982,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,DZOMBO,2,2,47.90,4711,30.0,31.0,3.4,0.73,0.4711,16890,5825,100,clean,highly
148,5/19/82,1982,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,N'SHAWU,3,11,43.00,4971,23.9,55.0,1.3,0.14,0.4971,16890,1207,70,clean,highly
189,5/20/82,1982,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,TSENDE,2,5,46.00,4020,26.1,50.0,3.4,0.17,0.4020,16890,1133,100,clean,highly
216,5/20/82,1982,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,TSENDE,3,12,46.00,2743,30.0,34.0,2.1,0.22,0.2743,16890,1035,100,clean,successful
2577,5/26/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,SHABENI,3,9,51.00,4842,23.6,48.0,1.7,0.21,0.4842,16890,1732,100,clean,highly
874,8/23/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,3,10,6.40,3373,21.1,33.0,1.1,1.01,0.3373,16890,5740,100,clean,highly
719,8/24/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,3,11,7.60,3252,25.6,28.0,2.0,0.68,0.3252,16890,3724,100,clean,highly
744,8/24/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,2,1,12.00,1881,16.7,57.0,2.1,0.47,0.1881,16890,1500,100,clean,highly
982,8/24/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,SKUKUZA,1,6,13.00,1501,19.4,43.0,1.3,0.26,0.1501,16890,659,60,dirty,unsuccessful
