# Species: BUAF = Burkea africana, COSP = Combretum collinum, zeyheri & psidioides, TESE = Terminalia sericea	
Species	Diam_cm	Increment_cm
BUAF	6.8	0.1
BUAF	3.7	0.2
BUAF	6	0.1
BUAF	7.9	0
BUAF	1.6	0.15
BUAF	4.1	0.1
BUAF	1.8	0.1
BUAF	6.7	0.3
BUAF	3.6	0
BUAF	4.9	0
BUAF	2.6	0.1
BUAF	2.5	0.05
BUAF	3.9	0.2
BUAF	3.7	0.5
BUAF	5.1	0.25
BUAF	4.9	0.25
BUAF	5.7	0.25
BUAF	3.3	0
BUAF	4.9	0.2
BUAF	1	0.05
BUAF	9.2	0.15
BUAF	6.9	0.05
BUAF	5.7	0.2
BUAF	5.7	0.1
BUAF	6.7	0.15
BUAF	2.4	0.3
BUAF	6.3	0
BUAF	1.6	0.05
BUAF	1.3	0.4
COSP	1.2	0.35
COSP	4.1	0.35
COSP	2.4	0.2
COSP	1.4	0.1
COSP	1.4	0.1
COSP	1.6	0.1
COSP	1	0
COSP	2.9	0.25
COSP	1.7	0.6
COSP	1.2	0.25
COSP	2.1	0.1
COSP	6	0
COSP	5.4	0.15
COSP	1.6	0.1
COSP	5	0.45
COSP	6.9	0.2
COSP	3.2	0.1
COSP	1.8	0.5
COSP	8	0.05
COSP	6.2	0.2
COSP	4.5	0.25
COSP	2.8	0.3
COSP	5.5	0.25
COSP	7.5	0.1
COSP	1	0.2
COSP	1.8	0.2
COSP	3.3	0.15
COSP	3.9	0.15
COSP	1.1	0.05
COSP	2.2	0.45
COSP	1	0.25
COSP	1.1	0.2
COSP	2.1	0.15
COSP	2.4	0.35
COSP	2.1	0.45
COSP	5.6	0.2
COSP	1.1	0.1
COSP	1.1	0.2
COSP	2	0.35
COSP	6	0.1
COSP	1.4	0.2
COSP	1.1	0.1
TESE	4.4	0.05
TESE	7.4	0.1
TESE	7	0
TESE	9.1	0
TESE	9.3	0.05
TESE	6.5	0
TESE	10	0
TESE	10	0
TESE	9.1	0
TESE	11.3	0.05
TESE	9.6	0
TESE	12.3	0.05
TESE	9.4	0
TESE	10.2	0.2
TESE	8.3	0.15
TESE	6.4	0.1
TESE	8.3	0.2
TESE	7.8	0.1
TESE	7.5	0.15
TESE	10	0
TESE	8.1	0.15
TESE	9.3	0.25
TESE	9.3	0.15
TESE	5.5	0.05
TESE	9.8	0.1
TESE	7.3	0.15
TESE	8.1	0
TESE	10.7	0
TESE	7.4	0.2
TESE	9.5	0
TESE	7.1	0.2
TESE	8.2	0.15
TESE	5	0.15
TESE	6.3	0.1
TESE	5.7	0.15
TESE	10	0.15
TESE	11	0.05
TESE	5.8	0.1
TESE	7.1	0.2
TESE	8.1	0.15
TESE	8.7	0.3
TESE	3.9	0.25
TESE	7.7	0.25
TESE	5.8	0.35
TESE	9	0.45
TESE	7.7	0.6
TESE	5.5	0.4
TESE	7.6	0.15
TESE	10.5	0.2
TESE	10.4	0.1
TESE	10.6	0.15
TESE	2.8	0.25
TESE	6.2	0.05
TESE	10.2	0.15
TESE	6.3	0.2
TESE	1.2	0
TESE	11.3	0.05
TESE	1.3	0.15
TESE	10.1	0.2
TESE	6.9	0.15
TESE	3.5	0.15
TESE	1.5	0.25
TESE	1.1	0.4
TESE	8.4	0.2
TESE	2.7	0.4
TESE	4.7	0.5
TESE	6.6	0.35
TESE	5.5	0.25
TESE	2.7	0.5
TESE	3.4	0.15
TESE	5.2	0.2
TESE	1.9	0.1
TESE	5.4	0.05
TESE	1.6	0.55
TESE	7.9	0.25
TESE	11.5	0.3
TESE	10.8	0.4
TESE	5.8	0.2
TESE	7.7	0.15
TESE	1.5	0.4
TESE	1.1	0.2
TESE	9.5	0.6
TESE	11.7	0.4
TESE	0.9	0.15
TESE	10.7	0.2
TESE	2	0.45
TESE	10	0.3
TESE	12.3	0.4
TESE	10.6	0.25
TESE	16.1	0.25
TESE	1.5	0.4
